P1 work time,P2 work time,P1 crit time,P2 crit time,P1 inc,P2 inc,time
0.00010, 0.00010, 0.00090, 0.00090, 2.00000, 5.00000, 0.131388
0.00010, 0.00010, 0.00090, 0.00090, 3.00000, 5.00000, 0.141449
0.00010, 0.00010, 0.00090, 0.00090, 4.00000, 5.00000, 0.149581
0.00010, 0.00010, 0.00090, 0.00090, 5.00000, 5.00000, 0.154076
0.00010, 0.00050, 0.00010, 0.00010, 1.00000, 1.00000, 0.127986
0.00010, 0.00050, 0.00010, 0.00010, 2.00000, 1.00000, 0.132124
0.00010, 0.00050, 0.00010, 0.00010, 3.00000, 1.00000, 0.126855
0.00010, 0.00050, 0.00010, 0.00010, 4.00000, 1.00000, 0.131449
0.00010, 0.00050, 0.00010, 0.00010, 5.00000, 1.00000, 0.130957
0.00010, 0.00050, 0.00010, 0.00010, 1.00000, 2.00000, 0.099176
0.00010, 0.00050, 0.00010, 0.00010, 2.00000, 2.00000, 0.106173
0.00010, 0.00050, 0.00010, 0.00010, 3.00000, 2.00000, 0.116250
0.00010, 0.00050, 0.00010, 0.00010, 4.00000, 2.00000, 0.122243
0.00010, 0.00050, 0.00010, 0.00010, 5.00000, 2.00000, 0.125328
0.00010, 0.00050, 0.00010, 0.00010, 1.00000, 3.00000, 0.088171
0.00010, 0.00050, 0.00010, 0.00010, 2.00000, 3.00000, 0.094359
0.00010, 0.00050, 0.00010, 0.00010, 3.00000, 3.00000, 0.103367
0.00010, 0.00050, 0.00010, 0.00010, 4.00000, 3.00000, 0.107379
0.00010, 0.00050, 0.00010, 0.00010, 5.00000, 3.00000, 0.116381
0.00010, 0.00050, 0.00010, 0.00010, 1.00000, 4.00000, 0.082564
0.00010, 0.00050, 0.00010, 0.00010, 2.00000, 4.00000, 0.090727
0.00010, 0.00050, 0.00010, 0.00010, 3.00000, 4.00000, 0.097425
0.00010, 0.00050, 0.00010, 0.00010, 4.00000, 4.00000, 0.102544
0.00010, 0.00050, 0.00010, 0.00010, 5.00000, 4.00000, 0.109221
0.00010, 0.00050, 0.00010, 0.00010, 1.00000, 5.00000, 0.071848
0.00010, 0.00050, 0.00010, 0.00010, 2.00000, 5.00000, 0.085202
0.00010, 0.00050, 0.00010, 0.00010, 3.00000, 5.00000, 0.091350
0.00010, 0.00050, 0.00010, 0.00010, 4.00000, 5.00000, 0.096225
0.00010, 0.00050, 0.00010, 0.00010, 5.00000, 5.00000, 0.103989
0.00010, 0.00050, 0.00010, 0.00050, 1.00000, 1.00000, 0.106497
0.00010, 0.00050, 0.00010, 0.00050, 2.00000, 1.00000, 0.080858
0.00010, 0.00050, 0.00010, 0.00050, 3.00000, 1.00000, 0.094165
0.00010, 0.00050, 0.00010, 0.00050, 4.00000, 1.00000, 0.096828
0.00010, 0.00050, 0.00010, 0.00050, 5.00000, 1.00000, 0.105545
0.00010, 0.00050, 0.00010, 0.00050, 1.00000, 2.00000, 0.075709
